timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743794571.5102730,813.1135,807.0696,807.47253,822.381,nan,nan,,,,,,,,,,
1743794571.5112288,,,,,,,0.01977539,0.11218262,1.0126343,,,,,,,
1743794571.5141771,792.1612,813.1135,801.4286,792.1612,nan,nan,,,,,,,,,,
1743794571.5180809,786.1172,810.293,804.2491,772.01465,nan,nan,,,,,,,,,,
1743794571.5219848,810.696,811.0989,807.47253,801.4286,nan,nan,,,,,,,,,,
1743794571.5220900,,,,,,,,,,,,,nan,280857000.0,nan,
1743794571.5246665,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.5258889,828.8278,813.5165,810.293,815.5311,nan,nan,,,,,,,,,,
1743794571.5297928,799.81683,800.6227,804.2491,785.31134,nan,nan,,,,,,,,,,
1743794571.5308392,,,,,,,0.022705078,0.112854004,1.0056763,,,,,,,
1743794571.5336967,786.9231,800.6227,804.65204,770.40295,nan,nan,,,,,,,,,,
1743794571.5376005,794.57874,816.337,809.0842,787.72894,nan,nan,,,,,,,,,,
1743794571.5377038,,,,,,,,,,,,,nan,280830400.0,nan,
1743794571.5415046,807.8755,807.0696,803.0403,807.8755,nan,nan,,,,,,,,,,
1743794571.5454085,792.5641,792.96704,807.8755,813.1135,nan,nan,,,,,,,,,,
1743794571.5493124,774.43225,797.3993,811.50183,801.02563,nan,nan,,,,,,,,,,
1743794571.5504498,,,,,,,0.02130127,0.11730957,1.0064697,,,,,,,
1743794571.5532165,785.31134,817.9487,808.68134,802.6374,nan,nan,,,,,,,,,,
1743794571.5533175,,,,,,,,,,,,,nan,280808640.0,nan,
1743794571.5571203,816.7399,815.12823,814.7253,820.7692,nan,nan,,,,,,,,,,
1743794571.5597880,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.5610242,809.0842,806.26373,813.5165,816.337,nan,nan,,,,,,,,,,
1743794571.5649283,778.0586,807.47253,813.5165,809.89014,nan,nan,,,,,,,,,,
1743794571.5688322,775.2381,805.05493,810.696,796.5934,nan,nan,,,,,,,,,,
1743794571.5689316,,,,,,,,,,,,,nan,280681300.0,nan,
1743794571.5700605,,,,,,,0.027160645,0.11883545,1.0088501,,,,,,,
1743794571.5727360,799.81683,800.6227,802.6374,795.38464,nan,nan,,,,,,,,,,
1743794571.5766399,808.68134,797.8022,804.2491,803.0403,nan,nan,,,,,,,,,,
1743794571.5805440,773.6264,807.0696,807.0696,788.1319,nan,nan,,,,,,,,,,
1743794571.5844479,763.5531,805.05493,803.0403,769.19415,nan,nan,,,,,,,,,,
1743794571.5845454,,,,,,,,,,,,,nan,280670050.0,nan,
1743794571.5883517,797.8022,809.0842,799.41394,786.1172,nan,nan,,,,,,,,,,
1743794571.5896709,,,,,,,0.027893066,0.11621094,1.0064697,,,,,,,
1743794571.5922558,820.7692,815.12823,799.011,804.2491,nan,nan,,,,,,,,,,
1743794571.5949092,,,,,,,,,,1610915.8,1608498.1,,,,,
1743794571.5961597,797.3993,817.1429,805.4579,787.326,nan,nan,,,,,,,,,,
1743794571.6000636,783.69965,814.3223,815.12823,778.86444,nan,nan,,,,,,,,,,
1743794571.6001594,,,,,,,,,,,,,nan,280661200.0,nan,
1743794571.6039677,800.6227,806.6667,808.68134,782.0879,nan,nan,,,,,,,,,,
1743794571.6078715,812.3077,823.9927,801.4286,790.14655,nan,nan,,,,,,,,,,
1743794571.6092815,,,,,,,0.028381348,0.11395264,1.0072632,,,,,,,
1743794571.6117754,804.65204,821.1722,798.60803,800.2198,nan,nan,,,,,,,,,,
1743794571.6156795,795.38464,803.0403,796.1905,807.0696,nan,nan,,,,,,,,,,
1743794571.6157732,,,,,,,,,,,,,nan,280596700.0,nan,
1743794571.6195834,796.99634,817.9487,804.65204,808.68134,nan,nan,,,,,,,,,,
1743794571.6234872,806.6667,818.7546,811.50183,809.0842,nan,nan,,,,,,,,,,
1743794571.6273911,797.8022,793.36993,813.1135,822.7839,nan,nan,,,,,,,,,,
1743794571.6288922,,,,,,,0.03186035,0.11413574,1.0066528,,,,,,,
1743794571.6300304,,,,,,,,,,1611721.6,1608498.1,,,,,
1743794571.6312952,770.0,790.9524,814.3223,807.0696,nan,nan,,,,,,,,,,
1743794571.6313870,,,,,,,,,,,,,nan,280603970.0,nan,
1743794571.6351991,759.92676,801.8315,813.5165,780.87915,nan,nan,,,,,,,,,,
1743794571.6391029,777.25275,801.4286,813.91943,799.41394,nan,nan,,,,,,,,,,
1743794571.6430070,784.5055,796.1905,816.337,805.4579,nan,nan,,,,,,,,,,
1743794571.6469109,756.7033,794.17584,812.3077,788.93774,nan,nan,,,,,,,,,,
1743794571.6470010,,,,,,,,,,,,,nan,280557220.0,nan,
1743794571.6485026,,,,,,,0.025878906,0.113586426,1.0065308,,,,,,,
1743794571.6508148,745.0183,802.23444,807.8755,796.1905,nan,nan,,,,,,,,,,
1743794571.6547189,777.25275,821.978,807.47253,811.9048,nan,nan,,,,,,,,,,
1743794571.6586227,805.05493,826.8132,811.50183,807.47253,nan,nan,,,,,,,,,,
1743794571.6625266,786.9231,795.38464,807.8755,798.60803,nan,nan,,,,,,,,,,
1743794571.6626148,,,,,,,,,,,,,nan,280578980.0,nan,
1743794571.6651516,,,,,,,,,,1611721.6,1608498.1,,,,,
1743794571.6664307,764.7619,775.2381,801.4286,789.7436,nan,nan,,,,,,,,,,
1743794571.6681132,,,,,,,0.023071289,0.11779785,1.0113525,,,,,,,
1743794571.6703346,788.93774,803.0403,805.8608,790.54944,nan,nan,,,,,,,,,,
