timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3,thermistor
1743795015.5768282,108.79121,837.28937,825.6044,1051.6483,nan,nan,,,,,,,,,,
1743795015.5795460,,,,,,,-0.506958,0.055358887,0.8635254,,,,,,,
1743795015.5807331,965.42126,775.64105,799.41394,558.0586,nan,nan,,,,,,,,,,
1743795015.5807834,,,,,,,,,,,,,nan,284925800.0,nan,
1743795015.5846381,0.0,754.68866,792.5641,481.50183,nan,nan,,,,,,,,,,
1743795015.5885432,601.1722,834.4689,804.65204,970.65936,nan,nan,,,,,,,,,,
1743795015.5913346,,,,,,,,,,1611721.6,1609304.0,,,,,
1743795015.5924482,54.395603,834.4689,789.7436,1151.978,nan,nan,,,,,,,,,,
1743795015.5963531,1245.8608,750.65936,771.2088,718.4249,nan,nan,,,,,,,,,,
1743795015.5964046,,,,,,,,,,,,,nan,284926600.0,nan,
1743795015.5991492,,,,,,,-0.50909424,0.057739258,0.86572266,,,,,,,
1743795015.6002581,77.36264,758.71796,783.2967,449.2674,nan,nan,,,,,,,,,,
1743795015.6041632,264.32236,821.5751,810.696,824.7985,nan,nan,,,,,,,,,,
1743795015.6080682,1432.8206,840.10986,833.663,1187.8389,nan,nan,,,,,,,,,,
1743795015.6119730,1500.1099,796.99634,824.3956,900.9524,nan,nan,,,,,,,,,,
1743795015.6120260,,,,,,,,,,,,,nan,284937900.0,nan,
1743795015.6158781,379.56042,754.68866,793.7729,485.53113,nan,nan,,,,,,,,,,
1743795015.6187522,,,,,,,-0.50634766,0.054870605,0.8609619,,,,,,,
1743795015.6197832,60.43956,795.38464,799.41394,676.9231,nan,nan,,,,,,,,,,
1743795015.6236882,1134.249,862.27106,836.4835,1133.0403,nan,nan,,,,,,,,,,
1743795015.6264629,,,,,,,,,,1610915.8,1608498.1,,,,,
1743795015.6275930,8.864469,830.84247,823.5897,988.3883,nan,nan,,,,,,,,,,
1743795015.6276474,,,,,,,,,,,,,nan,284882270.0,nan,
1743795015.6314981,658.3883,769.59705,794.9817,494.3956,nan,nan,,,,,,,,,,
1743795015.6354032,0.0,785.31134,807.0696,540.7326,nan,nan,,,,,,,,,,
1743795015.6383555,,,,,,,-0.5050049,0.059387207,0.8592529,,,,,,,
1743795015.6393082,825.2015,840.9158,820.3663,1045.2014,nan,nan,,,,,,,,,,
1743795015.6432133,103.553116,816.337,809.4872,1122.967,nan,nan,,,,,,,,,,
1743795015.6432688,,,,,,,,,,,,,nan,284866140.0,nan,
1743795015.6471181,987.1795,756.30035,786.9231,617.28937,nan,nan,,,,,,,,,,
1743795015.6510231,0.0,763.5531,788.93774,450.87912,nan,nan,,,,,,,,,,
1743795015.6549282,502.85715,808.68134,804.65204,949.304,nan,nan,,,,,,,,,,
1743795015.6579587,,,,,,,-0.5040283,0.059509277,0.861145,,,,,,,
1743795015.6588333,1644.359,818.3516,799.011,1185.0183,nan,nan,,,,,,,,,,
1743795015.6588900,,,,,,,,,,,,,nan,284826660.0,nan,
1743795015.6615913,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.6627381,1296.63,804.2491,805.4579,740.18317,nan,nan,,,,,,,,,,
1743795015.6666431,126.11722,790.9524,813.91943,409.3773,nan,nan,,,,,,,,,,
1743795015.6705482,224.0293,826.8132,818.7546,751.4652,nan,nan,,,,,,,,,,
1743795015.6744533,1366.7399,851.79486,826.8132,1149.9634,nan,nan,,,,,,,,,,
1743795015.6745114,,,,,,,,,,,,,nan,284789600.0,nan,
1743795015.6775620,,,,,,,-0.5072632,0.0592041,0.86279297,,,,,,,
1743795015.6783581,1554.1025,807.0696,814.7253,894.10254,nan,nan,,,,,,,,,,
1743795015.6822631,472.23444,780.07324,801.8315,469.011,nan,nan,,,,,,,,,,
1743795015.6861682,14.505494,790.14655,803.8461,660.0,nan,nan,,,,,,,,,,
1743795015.6900733,1045.2014,795.78754,811.9048,1140.6959,nan,nan,,,,,,,,,,
1743795015.6901329,,,,,,,,,,,,,nan,284820220.0,nan,
1743795015.6939781,65.27473,801.4286,810.696,1026.6666,nan,nan,,,,,,,,,,
1743795015.6967194,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.6971653,,,,,,,-0.50616455,0.059570312,0.86431885,,,,,,,
1743795015.6978831,770.0,794.17584,795.38464,509.30402,nan,nan,,,,,,,,,,
1743795015.7017882,0.0,788.5348,791.3553,508.49817,nan,nan,,,,,,,,,,
1743795015.7056932,778.86444,828.4249,805.4579,1019.011,nan,nan,,,,,,,,,,
1743795015.7057543,,,,,,,,,,,,,nan,284729950.0,nan,
1743795015.7095981,106.77656,821.5751,805.4579,1131.8315,nan,nan,,,,,,,,,,
1743795015.7135031,1193.4799,755.4945,794.57874,685.38464,nan,nan,,,,,,,,,,
1743795015.7167685,,,,,,,-0.501709,0.059143066,0.8597412,,,,,,,
1743795015.7174082,47.94872,764.35895,796.99634,475.4579,nan,nan,,,,,,,,,,
1743795015.7213132,487.14285,832.4542,811.50183,871.53845,nan,nan,,,,,,,,,,
1743795015.7213755,,,,,,,,,,,,,nan,284717060.0,nan,
1743795015.7252181,1625.8242,837.6923,815.12823,1141.5018,nan,nan,,,,,,,,,,
1743795015.7291231,1452.5641,797.3993,803.0403,786.52014,nan,nan,,,,,,,,,,
1743795015.7318478,,,,,,,,,,1611721.6,1609304.0,,,,,
1743795015.7330282,301.39194,760.7326,795.38464,443.22345,nan,nan,,,,,,,,,,
1743795015.7363718,,,,,,,-0.5064087,0.0579834,0.8621826,,,,,,,
1743795015.7369332,260.69598,791.3553,800.6227,747.4359,nan,nan,,,,,,,,,,
1743795015.7369969,,,,,,,,,,,,,nan,284636480.0,nan,
1743795015.7408381,1389.3041,833.663,813.91943,1171.7216,nan,nan,,,,,,,,,,
1743795015.7447431,47.545788,803.44324,802.6374,940.84247,nan,nan,,,,,,,,,,
1743795015.7486482,750.2564,774.83514,788.1319,472.63736,nan,nan,,,,,,,,,,
1743795015.7525532,244.17583,767.5824,787.326,599.9634,nan,nan,,,,,,,,,,
1743795015.7526183,,,,,,,,,,,,,nan,284600220.0,nan,
1743795015.7559748,,,,,,,-0.5036011,0.058166504,0.85791016,,,,,,,
1743795015.7564580,1197.5092,786.9231,786.1172,1105.238,nan,nan,,,,,,,,,,
1743795015.7603631,126.11722,818.7546,792.5641,1071.7949,nan,nan,,,,,,,,,,
1743795015.7642682,1145.5311,779.67035,794.57874,578.60803,nan,nan,,,,,,,,,,
1743795015.7669761,,,,,,,,,,1611721.6,1608498.1,,,,,
1743795015.7681732,361.02563,764.35895,796.1905,539.12085,nan,nan,,,,,,,,,,
1743795015.7682397,,,,,,,,,,,,,nan,284548640.0,nan,
1743795015.7720783,1062.9304,837.6923,819.9634,996.4469,nan,nan,,,,,,,,,,
1743795015.7755780,,,,,,,-0.50823975,0.0602417,0.8619995,,,,,,,
1743795015.7759831,98.71795,862.27106,838.0952,1118.5348,nan,nan,,,,,,,,,,
1743795015.7798882,1422.7472,803.0403,821.1722,673.2967,nan,nan,,,,,,,,,,
1743795015.7837932,552.4176,763.95605,807.8755,465.78754,nan,nan,,,,,,,,,,
1743795015.7838609,,,,,,,,,,,,,nan,284467260.0,nan,
1743795015.7876983,883.6264,803.0403,813.1135,904.9817,nan,nan,,,,,,,,,,
1743795015.7916031,37.875458,825.2015,826.0073,1201.1355,nan,nan,,,,,,,,,,
1743795015.7951813,,,,,,,-0.50561523,0.057434082,0.86151123,,,,,,,
1743795015.7955081,1625.4213,778.0586,813.91943,838.0952,nan,nan,,,,,,,,,,
1743795015.7994132,830.4396,747.03296,789.34064,443.62637,nan,nan,,,,,,,,,,
1743795015.7994823,,,,,,,,,,,,,nan,284451140.0,nan,
1743795015.8021045,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795015.8033183,762.3443,799.011,801.8315,747.4359,nan,nan,,,,,,,,,,
1743795015.8072231,1581.0989,842.1245,815.5311,1211.6117,nan,nan,,,,,,,,,,
1743795015.8111281,76.15385,809.89014,801.4286,967.03296,nan,nan,,,,,,,,,,
1743795015.8147845,,,,,,,-0.5013428,0.05987549,0.8609619,,,,,,,
1743795015.8150332,1194.6886,772.8205,787.72894,462.96704,nan,nan,,,,,,,,,,
1743795015.8151038,,,,,,,,,,,,,nan,284437440.0,nan,
1743795015.8189383,876.3736,787.326,791.75824,587.0696,nan,nan,,,,,,,,,,
