timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743805550.4186857,,,,,,,-0.18206787,0.06298828,0.9909668,,,,,,,
1743805550.4190309,796.99634,787.72894,790.14655,781.685,nan,nan,,,,,,,,,,
1743805550.4203777,,,,,,,,,,,,,,nan,286405340.0,nan
1743805550.4229360,821.978,813.1135,812.71063,804.65204,nan,nan,,,,,,,,,,
1743805550.4268413,809.89014,786.52014,805.4579,820.3663,nan,nan,,,,,,,,,,
1743805550.4307466,768.3883,749.0476,780.07324,800.6227,nan,nan,,,,,,,,,,
1743805550.4326847,,,,,,,,,,,,,29.138203,,,
1743805550.4346516,752.27106,768.3883,779.67035,767.5824,nan,nan,,,,,,,,,,
1743805550.4359972,,,,,,,,,,,,,,nan,286416640.0,nan
1743805550.4382937,,,,,,,-0.17773438,0.06036377,0.9892578,,,,,,,
1743805550.4385569,787.72894,811.50183,801.02563,781.28204,nan,nan,,,,,,,,,,
1743805550.4387295,,,,,,,,,,1612527.5,1608498.1,,,,,
1743805550.4424622,814.3223,802.6374,801.4286,806.6667,nan,nan,,,,,,,,,,
1743805550.4463675,779.2674,771.2088,780.07324,792.5641,nan,nan,,,,,,,,,,
1743805550.4502726,754.2857,770.40295,775.64105,763.95605,nan,nan,,,,,,,,,,
1743805550.4516170,,,,,,,,,,,,,,nan,286430340.0,nan
1743805550.4541779,777.6557,805.05493,800.6227,768.7912,nan,nan,,,,,,,,,,
1743805550.4579020,,,,,,,-0.17712402,0.061767578,0.9935303,,,,,,,
1743805550.4580832,811.9048,829.2308,817.5458,812.71063,nan,nan,,,,,,,,,,
1743805550.4619882,807.0696,803.8461,798.20514,820.7692,nan,nan,,,,,,,,,,
1743805550.4658935,778.0586,781.685,778.86444,787.326,nan,nan,,,,,,,,,,
1743805550.4672365,,,,,,,,,,,,,,nan,286433570.0,nan
1743805550.4697988,767.98535,791.3553,790.9524,766.77655,nan,nan,,,,,,,,,,
1743805550.4737039,796.1905,805.05493,807.8755,792.1612,nan,nan,,,,,,,,,,
1743805550.4738581,,,,,,,,,,1611721.6,1608498.1,,,,,
1743805550.4775100,,,,,,,-0.17352295,0.06414795,0.9937744,,,,,,,
1743805550.4776092,817.1429,793.36993,803.44324,810.696,nan,nan,,,,,,,,,,
1743805550.4815145,780.07324,781.685,782.0879,782.8938,nan,nan,,,,,,,,,,
1743805550.4828560,,,,,,,,,,,,,,nan,286422270.0,nan
1743805550.4854195,774.0293,791.3553,776.4469,755.89746,nan,nan,,,,,,,,,,
1743805550.4893248,806.26373,811.0989,801.8315,773.22345,nan,nan,,,,,,,,,,
1743805550.4932301,792.1612,807.8755,811.50183,802.23444,nan,nan,,,,,,,,,,
1743805550.4971182,,,,,,,-0.17486572,0.07080078,0.9929199,,,,,,,
1743805550.4971352,746.2271,772.01465,788.1319,788.5348,nan,nan,,,,,,,,,,
1743805550.4984758,,,,,,,,,,,,,,nan,286414200.0,nan
1743805550.4990289,,,,,,,,,,,,,29.118889,,,
1743805550.5010405,728.0952,761.9414,785.31134,759.92676,nan,nan,,,,,,,,,,
1743805550.5049458,756.7033,788.1319,803.0403,764.35895,nan,nan,,,,,,,,,,
1743805550.5088508,774.0293,809.4872,817.9487,796.1905,nan,nan,,,,,,,,,,
1743805550.5089867,,,,,,,,,,1612527.5,1608498.1,,,,,
1743805550.5127561,744.21246,780.4762,801.8315,796.99634,nan,nan,,,,,,,,,,
1743805550.5140953,,,,,,,,,,,,,,nan,286458530.0,nan
1743805550.5166614,711.5751,736.9597,786.52014,758.315,nan,nan,,,,,,,,,,
1743805550.5167265,,,,,,,-0.17388916,0.06738281,0.9967041,,,,,,,
1743805550.5205667,722.8571,755.4945,801.8315,749.85345,nan,nan,,,,,,,,,,
1743805550.5244718,762.3443,806.26373,820.3663,778.86444,nan,nan,,,,,,,,,,
1743805550.5283771,770.40295,790.9524,812.3077,794.17584,nan,nan,,,,,,,,,,
1743805550.5297148,,,,,,,,,,,,,,nan,286421470.0,nan
1743805550.5322824,736.9597,753.8828,788.5348,762.3443,nan,nan,,,,,,,,,,
1743805550.5361874,750.65936,776.8498,796.99634,741.39197,nan,nan,,,,,,,,,,
1743805550.5363345,,,,,,,-0.17108154,0.0670166,0.99334717,,,,,,,
1743805550.5400927,797.8022,812.3077,821.1722,782.8938,nan,nan,,,,,,,,,,
1743805550.5439980,796.1905,787.326,809.4872,804.65204,nan,nan,,,,,,,,,,
1743805550.5441155,,,,,,,,,,1611721.6,1609304.0,,,,,
1743805550.5453346,,,,,,,,,,,,,,nan,286498020.0,nan
1743805550.5479031,770.80585,749.0476,776.4469,774.0293,nan,nan,,,,,,,,,,
1743805550.5518084,768.7912,765.9707,776.04395,753.0769,nan,nan,,,,,,,,,,
1743805550.5557137,798.20514,805.05493,805.4579,777.6557,nan,nan,,,,,,,,,,
1743805550.5559428,,,,,,,-0.17108154,0.06689453,0.9953003,,,,,,,
1743805550.5596187,802.23444,815.5311,813.1135,805.4579,nan,nan,,,,,,,,,,
1743805550.5609541,,,,,,,,,,,,,,nan,286446430.0,nan
1743805550.5635240,769.59705,768.3883,789.7436,800.2198,nan,nan,,,,,,,,,,
1743805550.5653729,,,,,,,,,,,,,29.08026,,,
1743805550.5674293,746.63007,739.7802,780.87915,764.7619,nan,nan,,,,,,,,,,
1743805550.5713344,776.04395,782.0879,805.8608,770.0,nan,nan,,,,,,,,,,
1743805550.5752397,808.68134,808.2784,817.5458,821.1722,nan,nan,,,,,,,,,,
1743805550.5755508,,,,,,,-0.17321777,0.067993164,0.994812,,,,,,,
1743805550.5765736,,,,,,,,,,,,,,nan,286557660.0,nan
1743805550.5791450,789.34064,774.0293,794.9817,815.12823,nan,nan,,,,,,,,,,
1743805550.5792441,,,,,,,,,,1612527.5,1609304.0,,,,,
1743805550.5830500,767.98535,763.5531,782.49084,778.46155,nan,nan,,,,,,,,,,
1743805550.5869553,779.67035,794.57874,801.4286,769.59705,nan,nan,,,,,,,,,,
1743805550.5908606,804.2491,816.7399,818.3516,807.8755,nan,nan,,,,,,,,,,
1743805550.5921934,,,,,,,,,,,,,,nan,286490780.0,nan
1743805550.5947659,806.26373,789.7436,806.26373,828.022,nan,nan,,,,,,,,,,
1743805550.5951591,,,,,,,-0.1729126,0.0703125,1.0021973,,,,,,,
1743805550.5986710,784.10254,777.25275,787.72894,783.69965,nan,nan,,,,,,,,,,
1743805550.6025763,779.67035,803.0403,793.7729,761.13556,nan,nan,,,,,,,,,,
1743805550.6064816,809.4872,825.2015,817.1429,789.34064,nan,nan,,,,,,,,,,
1743805550.6078129,,,,,,,,,,,,,,nan,286465800.0,nan
1743805550.6103866,813.5165,806.26373,814.3223,819.9634,nan,nan,,,,,,,,,,
1743805550.6142919,776.4469,755.89746,784.5055,798.20514,nan,nan,,,,,,,,,,
1743805550.6143730,,,,,,,,,,1611721.6,1608498.1,,,,,
1743805550.6147671,,,,,,,-0.1765747,0.07086182,0.99938965,,,,,,,
1743805550.6181972,767.1795,763.5531,776.04395,755.09155,nan,nan,,,,,,,,,,
