timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,thermistor,ppg_1,ppg_2,ppg_3
1743795374.7723505,796.5934,793.36993,812.71063,789.7436,nan,nan,,,,,,,,,,
1743795374.7762527,821.1722,788.5348,816.337,864.68866,nan,nan,,,,,,,,,,
1743795374.7801549,776.8498,768.3883,800.6227,771.2088,nan,nan,,,,,,,,,,
1743795374.7802758,,,,,,,,,,,,,,nan,306251300.0,nan
1743795374.7823050,,,,,,,-0.031677246,0.087768555,1.0447998,,,,,,,
1743795374.7840571,753.47986,790.14655,798.20514,688.20514,nan,nan,,,,,,,,,,
1743795374.7879591,793.36993,803.44324,808.2784,757.9121,nan,nan,,,,,,,,,,
1743795374.7883337,,,,,,,,,,,,,35.131683,,,
1743795374.7918613,823.1868,787.72894,796.99634,861.06226,nan,nan,,,,,,,,,,
1743795374.7957635,803.8461,780.87915,793.36993,827.2161,nan,nan,,,,,,,,,,
1743795374.7958810,,,,,,,,,,,,,,nan,306229540.0,nan
1743795374.7996657,767.5824,786.52014,798.20514,721.6484,nan,nan,,,,,,,,,,
1743795374.8019180,,,,,,,-0.046203613,0.094055176,1.0318604,,,,,,,
1743795374.8020344,,,,,,,,,,1610109.9,1608498.1,,,,,
1743795374.8035679,777.6557,813.5165,794.57874,730.5128,nan,nan,,,,,,,,,,
1743795374.8074701,819.5604,819.9634,801.8315,838.49817,nan,nan,,,,,,,,,,
1743795374.8113723,834.0659,801.8315,810.293,850.989,nan,nan,,,,,,,,,,
1743795374.8114860,,,,,,,,,,,,,,nan,306276260.0,nan
1743795374.8152745,785.7143,792.96704,803.8461,725.6777,nan,nan,,,,,,,,,,
1743795374.8191764,776.04395,790.9524,798.60803,697.0696,nan,nan,,,,,,,,,,
1743795374.8215311,,,,,,,-0.06378174,0.09667969,1.020935,,,,,,,
1743795374.8230786,824.7985,776.04395,802.6374,814.3223,nan,nan,,,,,,,,,,
1743795374.8269808,829.6337,786.1172,801.4286,855.42126,nan,nan,,,,,,,,,,
1743795374.8270910,,,,,,,,,,,,,,nan,306234370.0,nan
1743795374.8308830,795.38464,785.7143,807.0696,743.8095,nan,nan,,,,,,,,,,
1743795374.8347852,778.86444,789.7436,808.68134,670.07324,nan,nan,,,,,,,,,,
1743795374.8371429,,,,,,,,,,1610915.8,1609304.0,,,,,
1743795374.8386874,804.2491,810.293,801.8315,751.8681,nan,nan,,,,,,,,,,
1743795374.8411441,,,,,,,-0.07086182,0.0949707,1.0132446,,,,,,,
1743795374.8425896,835.2747,804.2491,805.4579,830.84247,nan,nan,,,,,,,,,,
1743795374.8426962,,,,,,,,,,,,,,nan,306198900.0,nan
1743795374.8464918,801.8315,777.6557,799.41394,748.6447,nan,nan,,,,,,,,,,
1743795374.8503938,759.92676,783.69965,788.93774,640.65936,nan,nan,,,,,,,,,,
1743795374.8542960,795.78754,823.5897,798.20514,691.8315,nan,nan,,,,,,,,,,
1743795374.8545623,,,,,,,,,,,,,35.11193,,,
1743795374.8581982,834.0659,815.5311,803.44324,784.10254,nan,nan,,,,,,,,,,
1743795374.8583012,,,,,,,,,,,,,,nan,306116700.0,nan
1743795374.8607574,,,,,,,-0.083984375,0.09698486,1.013977,,,,,,,
1743795374.8621004,809.4872,785.31134,803.0403,755.89746,nan,nan,,,,,,,,,,
1743795374.8660026,778.0586,776.04395,795.78754,630.58606,nan,nan,,,,,,,,,,
1743795374.8699048,799.41394,788.5348,799.81683,626.55676,nan,nan,,,,,,,,,,
1743795374.8722515,,,,,,,,,,1609304.0,1609304.0,,,,,
1743795374.8738070,849.3773,823.5897,813.5165,731.7216,nan,nan,,,,,,,,,,
1743795374.8739064,,,,,,,,,,,,,,nan,306129600.0,nan
1743795374.8777092,846.55676,808.68134,811.0989,728.9011,nan,nan,,,,,,,,,,
1743795374.8803704,,,,,,,-0.09472656,0.10284424,1.0206909,,,,,,,
1743795374.8816111,783.69965,772.4176,798.60803,619.304,nan,nan,,,,,,,,,,
1743795374.8855133,778.0586,796.5934,789.34064,570.14655,nan,nan,,,,,,,,,,
1743795374.8894155,828.4249,801.4286,794.9817,668.86444,nan,nan,,,,,,,,,,
1743795374.8895113,,,,,,,,,,,,,,nan,306084480.0,nan
1743795374.8933177,836.08057,799.81683,804.65204,711.1722,nan,nan,,,,,,,,,,
1743795374.8972199,796.99634,788.93774,803.0403,600.7692,nan,nan,,,,,,,,,,
1743795374.8999834,,,,,,,-0.10217285,0.10284424,1.0116577,,,,,,,
1743795374.9011221,780.07324,795.78754,794.57874,511.3187,nan,nan,,,,,,,,,,
1743795374.9050243,826.8132,817.9487,790.9524,583.44324,nan,nan,,,,,,,,,,
1743795374.9051166,,,,,,,,,,,,,,nan,306048200.0,nan
1743795374.9073601,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795374.9089262,855.42126,780.07324,789.7436,685.38464,nan,nan,,,,,,,,,,
1743795374.9128284,796.5934,735.34796,789.7436,601.1722,nan,nan,,,,,,,,,,
1743795374.9167306,758.315,782.49084,799.011,478.27838,nan,nan,,,,,,,,,,
1743795374.9195964,,,,,,,-0.107299805,0.101135254,0.9998169,,,,,,,
1743795374.9206328,799.41394,824.7985,794.9817,527.03296,nan,nan,,,,,,,,,,
1743795374.9207215,,,,,,,,,,,,,,nan,306014370.0,nan
1743795374.9207909,,,,,,,,,,,,,35.11193,,,
1743795374.9245350,833.663,792.5641,784.90845,626.9597,nan,nan,,,,,,,,,,
1743795374.9284372,809.89014,770.40295,793.36993,605.6044,nan,nan,,,,,,,,,,
1743795374.9323394,775.2381,809.89014,797.3993,473.84616,nan,nan,,,,,,,,,,
1743795374.9362416,784.5055,810.293,796.99634,449.67032,nan,nan,,,,,,,,,,
1743795374.9363267,,,,,,,,,,,,,,nan,305942620.0,nan
1743795374.9392095,,,,,,,-0.1126709,0.10559082,1.0019531,,,,,,,
1743795374.9401436,820.3663,776.04395,798.60803,560.07324,nan,nan,,,,,,,,,,
1743795374.9424686,,,,,,,,,,1610109.9,1609304.0,,,,,
1743795374.9440458,819.9634,780.4762,799.81683,574.9817,nan,nan,,,,,,,,,,
1743795374.9479480,778.46155,800.6227,797.3993,460.54944,nan,nan,,,,,,,,,,
1743795374.9518502,787.326,831.6484,794.17584,408.57144,nan,nan,,,,,,,,,,
1743795374.9519317,,,,,,,,,,,,,,nan,306045800.0,nan
1743795374.9557524,837.28937,812.71063,794.57874,500.43958,nan,nan,,,,,,,,,,
1743795374.9588225,,,,,,,-0.11566162,0.105895996,0.998291,,,,,,,
1743795374.9596546,838.0952,765.9707,792.96704,553.6264,nan,nan,,,,,,,,,,
